ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1433463_at,4,4,1,0.001
1451444_s_at,4,4,1,0.001
1455725_a_at,4,4,1,0.001
1418174_at,8,8,2,0.001
1450643_s_at,8,8,2,0.001
1456393_at,8,8,2,0.001
1417212_at,12,12,3,0.001
1434224_at,12,12,3,0.001
1428137_at,16,16,4,0.001
1455539_at,16,16,4,0.001
1420272_at,4,4,1,0.002
1424657_at,4,4,1,0.002
1416462_at,8,8,2,0.002
1422526_at,8,8,2,0.002
1452718_at,8,8,2,0.002
1420131_s_at,12,12,3,0.002
1424574_at,12,12,3,0.002
1449816_at,12,12,3,0.002
1424009_at,16,16,4,0.002
1425715_at,16,16,4,0.002
1417434_at,12,16,20,0.002
1417709_at,0,20,20,0.002
1424335_at,8,12,20,0.002
1452151_at,0,0,0,0.003
1417975_at,8,8,2,0.003
1448382_at,8,8,2,0.003
1426342_at,16,16,4,0.003
1460203_at,16,16,4,0.003
1415979_x_at,20,20,5,0.003
1433659_at,20,20,5,0.003
1455061_a_at,4,4,1,0.004
1425961_at,8,8,2,0.004
1460676_at,8,8,2,0.004
1420737_at,16,16,4,0.004
1449024_a_at,16,16,4,0.004
1423731_at,12,16,20,0.004
1426181_a_at,0,20,20,0.004
1434181_at,0,4,20,0.004
1420126_at,0,0,0,0.005
1415715_at,4,4,1,0.005
1420900_a_at,8,8,2,0.005
1420990_at,8,8,2,0.005
1425929_a_at,8,8,2,0.005
1416922_a_at,12,12,3,0.005
1422470_at,12,12,3,0.005
1416715_at,16,16,4,0.005
1417815_a_at,16,16,4,0.005
1416135_at,20,20,5,0.005
1449010_at,20,20,5,0.005
1416187_s_at,16,20,20,0.005
1448517_at,8,8,2,0.006
1418491_a_at,12,12,3,0.006
1434214_at,12,12,3,0.006
1427422_at,16,16,4,0.006
1451399_at,16,16,4,0.006
1455626_at,16,16,4,0.006
1428027_at,0,0,0,0.007
1418895_at,4,4,1,0.007
1423597_at,4,4,1,0.007
1448880_at,4,4,1,0.007
1451286_s_at,4,4,1,0.007
1452030_a_at,4,4,1,0.007
1452217_at,4,4,1,0.007
1423249_at,8,8,2,0.007
1428880_at,8,8,2,0.007
1448559_at,8,8,2,0.007
1416316_at,12,12,3,0.007
1416668_at,12,12,3,0.007
1417168_a_at,12,12,3,0.007
1422241_a_at,12,12,3,0.007
1455002_at,12,12,3,0.007
1423613_at,16,16,4,0.007
1457265_at,20,20,5,0.007
1416840_at,16,20,20,0.007
1426253_at,0,4,20,0.007
1433534_a_at,0,20,20,0.007
1451710_at,12,16,20,0.007
1449096_at,0,0,0,0.008
1417130_s_at,4,4,1,0.008
1417406_at,4,4,1,0.008
1431748_a_at,4,4,1,0.008
1415771_at,12,12,3,0.008
1415821_at,12,12,3,0.008
1417838_at,12,12,3,0.008
1418081_at,12,12,3,0.008
1418332_a_at,12,12,3,0.008
1428303_at,12,12,3,0.008
1449088_at,12,12,3,0.008
1428107_at,16,16,4,0.008
1434311_at,16,16,4,0.008
1450742_at,16,16,4,0.008
1460464_at,16,16,4,0.008
1452053_a_at,20,20,5,0.008
1451278_a_at,0,20,20,0.008
1452509_at,8,12,20,0.008
1422539_at,4,4,1,0.009
1417506_at,8,8,2,0.009
1451061_at,8,8,2,0.009
1452828_at,8,8,2,0.009
1418240_at,12,12,3,0.009
1421163_a_at,12,12,3,0.009
1423108_at,12,12,3,0.009
1452145_at,12,12,3,0.009
1433851_at,16,16,4,0.009
1436390_a_at,16,16,4,0.009
1419061_at,20,20,5,0.009
1459926_at,20,20,5,0.009
1415909_at,16,20,20,0.009
1424758_s_at,12,16,20,0.009
1425349_a_at,16,20,20,0.009
1438188_x_at,12,16,20,0.009
1452372_at,4,8,20,0.009
1418866_at,8,8,2,0.01
1421874_a_at,8,8,2,0.01
1437343_x_at,8,8,2,0.01
1448970_at,8,8,2,0.01
1421215_a_at,12,12,3,0.01
1431762_at,12,12,3,0.01
1419665_a_at,16,16,4,0.01
1426337_a_at,16,16,4,0.01
1418760_at,20,20,5,0.01
1427168_a_at,20,20,5,0.01
1416720_at,12,16,20,0.01
1423007_a_at,0,20,20,0.01
1448529_at,8,12,20,0.01
1452662_a_at,0,0,0,0.011
1423470_at,8,8,2,0.011
1424113_at,8,8,2,0.011
1420342_at,12,12,3,0.011
1427640_a_at,12,12,3,0.011
1431388_at,12,12,3,0.011
1423723_s_at,16,16,4,0.011
1425371_at,16,16,4,0.011
1439410_x_at,16,16,4,0.011
1447976_at,16,16,4,0.011
1451268_at,20,20,5,0.011
1417870_x_at,12,16,20,0.011
1422668_at,12,16,20,0.011
1424904_at,8,12,20,0.011
1430889_a_at,0,4,20,0.011
1453723_x_at,4,8,20,0.011
1460436_at,8,12,20,0.011
1415674_a_at,4,4,1,0.012
1431602_a_at,4,4,1,0.012
1431619_a_at,8,8,2,0.012
1424939_at,12,12,3,0.012
1451154_a_at,12,12,3,0.012
1417427_at,16,16,4,0.012
1419466_at,16,16,4,0.012
1416693_at,20,20,5,0.012
1424438_a_at,0,4,20,0.012
1425540_at,12,16,20,0.012
1452485_at,4,8,20,0.012
1455787_x_at,0,20,20,0.012
1451640_a_at,0,0,0,0.013
1434469_at,4,4,1,0.013
1416958_at,8,8,2,0.013
1419450_at,8,8,2,0.013
1448332_at,8,8,2,0.013
1423849_a_at,12,12,3,0.013
1439422_a_at,16,16,4,0.013
1421012_at,20,20,5,0.013
1421873_s_at,4,8,20,0.013
1433563_s_at,0,20,20,0.013
1448953_at,16,20,20,0.013
1453550_a_at,4,8,20,0.013
1458862_at,4,8,20,0.013
1448365_at,0,0,0,0.014
1452519_a_at,4,4,1,0.014
1425018_at,8,8,2,0.014
1416023_at,12,12,3,0.014
1423911_at,12,12,3,0.014
1429238_a_at,12,12,3,0.014
1434587_x_at,12,12,3,0.014
1460202_at,16,16,4,0.014
1455265_a_at,20,20,5,0.014
1418288_at,16,20,20,0.014
1425486_s_at,0,20,20,0.014
1448103_s_at,0,0,0,0.015
1448551_a_at,0,0,0,0.015
1448625_at,4,4,1,0.015
1448258_a_at,8,8,2,0.015
1449047_at,8,8,2,0.015
1453238_s_at,12,12,3,0.015
1418575_at,16,16,4,0.015
1421743_a_at,16,16,4,0.015
1434358_x_at,16,16,4,0.015
1428143_a_at,12,16,20,0.015
1421826_at,4,4,1,0.016
1448950_at,4,4,1,0.016
1451109_a_at,4,4,1,0.016
1416251_at,8,8,2,0.016
1418091_at,8,8,2,0.016
1422995_at,8,8,2,0.016
1435015_at,8,8,2,0.016
1421840_at,12,12,3,0.016
1423079_a_at,12,12,3,0.016
1424978_at,12,12,3,0.016
1448249_at,12,12,3,0.016
1418815_at,16,16,4,0.016
1426144_x_at,16,16,4,0.016
1426721_s_at,16,16,4,0.016
1436909_at,16,16,4,0.016
1448178_a_at,16,16,4,0.016
1450656_at,16,16,4,0.016
1454688_x_at,16,16,4,0.016
1460678_at,16,16,4,0.016
1417132_at,4,8,20,0.016
1418373_at,12,16,20,0.016
1419516_at,8,12,20,0.016
1449183_at,0,0,0,0.017
