ProbeID,Lower_Bound,Upper_Bound,Phase_class,P_value
1415675_at,0,0,0,0.385
1415724_a_at,0,0,0,0.277
1415738_at,0,0,0,0.491
1415756_a_at,0,0,0,0.191
1415781_a_at,0,0,0,0.31
1415802_at,0,0,0,0.024
1415810_at,0,0,0,0.743
1415836_at,0,0,0,0.475
1415875_at,0,0,0,0.32
1415937_s_at,0,0,0,0.247
1415971_at,0,0,0,0.477
1415973_at,0,0.4,0,0.365
1415984_at,0,0,0,0.099
1415997_at,0,0,0,0.526
1416021_a_at,0,0,0,0.577
1416056_a_at,0,0,0,0.323
1416144_a_at,0,0,0,0.275
1416186_at,0,0,0,0.315
1416211_a_at,0,0,0,0.528
1416218_x_at,0,0,0,0.12
1416298_at,0,0,0,0.224
1416303_at,0,0,0,0.441
1416311_s_at,0,0,0,0.243
1416337_at,0,0,0,0.464
1416348_at,0,0,0,0.219
1416376_at,0,0,0,0.352
1416381_a_at,0,0,0,0.229
1416389_a_at,0,0,0,0.26
1416411_at,0,0,0,0.401
1416426_at,0,0,0,0.391
1416430_at,0,0,0,0.295
1416431_at,0,0,0,0.309
1416455_a_at,0,0,0,0.311
1416465_a_at,0,0,0,0.481
1416472_at,0,0,0,0.216
1416512_at,0,0,0,0.54
1416556_at,0,0,0,0.168
1416612_at,0,0,0,0.727
1416618_at,0,0,0,0.643
1416666_at,0,0,0,0.565
1416684_at,0,0,0,0.596
1416740_at,0,0,0,0.575
1416803_at,0,0,0,0.144
1416820_at,0,0,0,0.261
1416829_at,0,0,0,0.422
1416890_at,0,0,0,0.812
1416901_at,0,0,0,0.186
1416943_at,0,0,0,0.694
1416955_at,0,0,0,0.673
1416970_a_at,0,0,0,0.253
1416979_at,0,0,0,0.261
1416984_at,0,0,0,0.624
1417005_at,0,0,0,0.111
1417017_at,0,0,0,0.128
1417018_at,0,0,0,0.366
1417027_at,0,0,0,0.447
1417049_at,0,0,0,0.512
1417052_at,0,0,0,0.19
1417066_at,0,0,0,0.212
1417083_at,0,0,0,0.326
1417098_s_at,0,0,0,0.539
1417107_at,0,0,0,0.488
1417130_s_at,0,0,0,0.133
1417153_at,0,0,0,0.324
1417164_at,0,0,0,0.157
1417178_at,0,0,0,0.377
1417204_at,0,0,0,0.626
1417205_at,0,0,0,0.216
1417220_at,0,0,0,0.263
1417331_a_at,0,0,0,0.16
1417342_at,0,0,0,0.271
1417366_s_at,0,0,0,0.091
1417370_at,0,0,0,0.244
1417416_at,0,0,0,0.239
1417471_s_at,0,0,0,0.331
1417490_at,0,0,0,0.454
1417495_x_at,0,0,0,0.003
1417509_at,0,0,0,0.098
1417528_at,0,0,0,0.507
1417636_at,0,0,0,0.297
1417637_a_at,0,0,0,0.175
1417673_at,0,0,0,0.083
1417720_at,0,0,0,0.279
1417749_a_at,0,0,0,0.642
1417765_a_at,0,0,0,0.467
1417807_at,0,0,0,0.099
1417818_at,0,0,0,0.15
1417839_at,0,0,0,0.28
1417860_a_at,0,0,0,0.334
1417920_at,0,0,0,0.331
1417929_at,0,0,0,0.443
1417962_s_at,0,0,0,0.105
1417966_at,0,0,0,0.554
1417981_at,0,0,0,0.054
1417984_at,0,0,0,0.492
1418018_at,0,0,0,0.258
1418046_at,0,0,0,0.62
1418052_at,0,0,0,0.497
1418077_at,0,0,0,0.69
1418091_at,0,0,0,0.738
1418136_at,0,0,0,0.687
1418266_at,0,0,0,0.46
1418269_at,0,0,0,0.419
1418314_a_at,0,0,0,0.593
1418342_at,0,0,0,0.393
1418358_at,0,0,0,0.142
1418367_x_at,0,0,0,0.491
1418420_at,0,0,0,0.422
1418456_a_at,0,0,0,0.529
1418457_at,0,0,0,0.041
1418484_at,0,0,0,0.727
1418505_at,0,0,0,0.232
1418536_at,0,0,0,0.113
1418545_at,0,0,0,0.513
1418547_at,0,0,0,0.127
1418580_at,0,0,0,0.431
1418660_at,0,0,0,0.292
1418666_at,0,0,0,0.248
1418681_at,0,0,0,0.481
1418689_at,0,0,0,0.241
1418702_a_at,0,0,0,0.1
1418703_at,0,0,0,0.3
1418710_at,0,0,0,0.07
1418748_at,0,0,0,0.313
1418788_at,0,0,0,0.272
1418878_at,0,0,0,0.565
1418912_at,0,0,0,0.255
1418921_at,0,0,0,0.734
1418922_at,0,0,0,0.65
1419091_a_at,0,0,0,0.157
1419100_at,0,0,0,0.085
1419148_at,0,0,0,0.344
1419189_at,0,0,0,0.093
1419199_at,0,0,0,0.607
1419208_at,0,0,0,0.117
1419215_at,0,0,0,0.576
1419217_at,0,0,0,0.58
