ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1415670_at,16,16,4,0.018
1415671_at,12,12,3,0.138
1415672_at,4,4,1,0.018
1415673_at,16,16,4,0.385
1415674_a_at,4,8,20,0.595
1415675_at,4,4,1,0.061
1415676_a_at,0,0,0,0.352
1415677_at,0,0,0,0.028
1415678_at,8,8,2,0.087
1415679_at,8,12,20,0.171
1415680_at,7.6,12,20,0.51
1415681_at,0,20,20,0.491
1415682_at,12,12,3,0.615
1415683_at,4,4,1,0.539
1415684_at,0,4,20,0.71
1415685_at,8,8,2,0.053
1415686_at,4,4,1,0.384
1415687_a_at,12,12,3,0.135
1415688_at,8,8,2,0.37
1415689_s_at,20,20,5,0.582
1415690_at,4,8,20,0.628
1415691_at,4,4,1,0.288
1415692_s_at,20,20,5,0.041
1415693_at,12,16,20,0.598
1415694_at,16,16,4,0.409
1415695_at,0,4,20,0.352
1415696_at,12,12,3,0.128
1415697_at,0,0,0,0.29
1415698_at,12,12,3,0.118
1415699_a_at,8,8,2,0.843
1415700_a_at,16,16,4,0.223
1415701_x_at,0,20,20,0.459
1415702_a_at,8,16,20,0.368
1415703_at,4,12,20,0.742
1415704_a_at,12,12,3,0.181
1415705_at,0,4,20,0.122
1415706_at,16,16,4,0.241
1415707_at,4,4,1,0.219
1415708_at,4,8,20,0.118
1415709_s_at,0,4,20,0.423
1415710_at,20,20,5,0.524
1415711_at,8,8,2,0.048
1415712_at,12,12,3,0.872
1415713_a_at,16,16,4,0.214
1415714_a_at,4,8,20,0.39
1415715_at,4,4,1,0.269
1415716_a_at,12,12,3,0.288
1415717_at,0,20,20,0.601
1415718_at,8,12,20,0.296
1415719_s_at,8,12,20,0.595
1415720_s_at,8,8,2,0.405
1415721_a_at,12,12,3,0.03
1415722_a_at,4,4,1,0.339
1415723_at,8,8,2,0.019
1415724_a_at,0,20,20,0.548
1415725_at,8,8,2,0.299
1415726_at,8,12,20,0.022
1415727_at,8,12,20,0.19
1415728_at,4,4,1,0.231
1415729_at,8,8,2,0.122
1415730_at,8,8,2,0.462
1415731_at,12,12,3,0.773
1415732_at,4,8,20,0.395
1415733_a_at,4,8,20,0.162
1415734_at,12,12,3,0.23
1415735_at,12,12,3,0.368
1415736_at,16,16,4,0.137
1415737_at,16,16,4,0.608
1415738_at,0,20,20,0.126
1415739_at,12,16,20,0.351
1415740_at,0,20,20,0.55
1415741_at,16,20,20,0.531
1415742_at,16,16,4,0.558
1415743_at,0,0,0,0.517
1415744_at,4,8,20,0.074
1415745_a_at,0,4,20,0.504
1415746_at,0,0,0,0.315
1415747_s_at,12,16,20,0.703
1415748_a_at,4,4,1,0.194
1415749_a_at,8,12,20,0.239
1415750_at,20,20,5,0.412
1415751_at,4,4,1,0.541
1415752_at,0,20,20,0.424
1415753_at,12,16,20,0.407
1415754_at,4,8,20,0.483
1415755_a_at,12,12,3,0.382
1415756_a_at,0,4,20,0.114
1415757_at,16,16,4,0.75
1415758_at,0,20,20,0.545
1415759_a_at,4,8,20,0.499
1415760_s_at,16,16,4,0.009
1415761_at,0,20,20,0.811
1415762_x_at,16,20,20,0.313
1415763_a_at,12,12,3,0.124
1415764_at,8,8,2,0.346
1415765_at,8,12,20,0.089
1415766_at,12,16,20,0.256
1415767_at,16,20,20,0.328
1415768_a_at,0,0,0,0.046
1415769_at,8,8,2,0.261
1415770_at,4,4,1,0.35
1415771_at,8,8,2,0.155
